host_hostname,disk_bytes_read,disk_bytes_written,elapsed_time,name,path,start_time
NANO0101,4.92 GB,116 bytes,32,TaniumClient.exe,C:\Program Files (x86)\Tanium\Tanium Client\TaniumClient.exe,2021-11-06 18:43:10
NANO0101,47.63 KB,0 bytes,32,unsecapp.exe,C:\Windows\System32\wbem\unsecapp.exe,2021-11-06 18:43:13
NANO0101,423.96 MB,243.74 MB,32,WmiPrvSE.exe,C:\Windows\System32\wbem\WmiPrvSE.exe,2021-11-06 18:43:13
NANO0101,27.7 KB,0 bytes,32,svchost.exe,C:\Windows\System32\svchost.exe,2021-11-06 18:43:23
NANO0101,400.78 KB,7.08 KB,32,WmiPrvSE.exe,C:\Windows\System32\wbem\WmiPrvSE.exe,2021-11-06 18:45:25
NANO0101,29.14 MB,8.81 MB,32,SearchIndexer.exe,C:\Windows\System32\SearchIndexer.exe,2021-11-06 18:45:28
NANO0101,400.78 KB,0 bytes,32,WmiPrvSE.exe,C:\Windows\System32\wbem\WmiPrvSE.exe,2021-11-06 18:45:50
NANO0101,7.67 GB,2.69 GB,30,TrustedInstaller.exe,C:\Windows\servicing\TrustedInstaller.exe,2021-11-08 19:32:33
NANO0101,148.65 MB,25.63 MB,4,CcmExec.exe,C:\Windows\CCM\CcmExec.exe,2021-12-04 09:32:24
NANO0101,957.37 KB,0 bytes,4,cmd.exe,C:\Windows\SysWOW64\cmd.exe,2021-12-04 09:53:47
NANO0101,351.51 KB,0 bytes,4,conhost.exe,C:\Windows\System32\conhost.exe,2021-12-04 09:53:47
NANO0101,505.91 MB,53.41 KB,4,cscript.exe,C:\Windows\SysWOW64\cscript.exe,2021-12-04 09:53:47
NANO0101,5.15 MB,1.79 MB,1,taskhost.exe,C:\Windows\System32\taskhost.exe,2021-12-07 20:23:43
NANO0101,943.64 KB,0 bytes,1,ccSvcHst.exe,C:\Program Files (x86)\Symantec\Symantec Endpoint Protection\12.1.7061.6600.105\Bin\ccSvcHst.exe,2021-12-07 20:23:43
NANO0101,542.87 KB,0 bytes,1,PresentationFontCache.exe,C:\Windows\Microsoft.NET\Framework64\v3.0\WPF\PresentationFontCache.exe,2021-12-07 20:23:53
NANO0101,120.95 KB,0 bytes,1,dwm.exe,C:\Windows\System32\dwm.exe,2021-12-07 20:23:53
NANO0101,12.9 MB,144.53 KB,1,explorer.exe,C:\Windows\explorer.exe,2021-12-07 20:23:54
NANO0101,398.21 KB,51.53 KB,1,WmiPrvSE.exe,C:\Windows\System32\wbem\WmiPrvSE.exe,2021-12-07 20:23:54
NANO0101,324.57 KB,39.08 KB,1,igfxEM.exe,C:\Windows\System32\igfxEM.exe,2021-12-07 20:23:56
NANO0101,258.03 KB,0 bytes,1,igfxHK.exe,C:\Windows\System32\igfxHK.exe,2021-12-07 20:23:56
NANO0101,405.02 KB,0 bytes,1,igfxTray.exe,C:\Windows\System32\igfxTray.exe,2021-12-07 20:23:56
NANO0101,970 KB,37.21 KB,1,SCNotification.exe,C:\Windows\CCM\SCNotification.exe,2021-12-07 20:24:05
NANO0101,292.85 KB,0 bytes,1,iusb3mon.exe,C:\Program Files (x86)\Intel\Intel(R) USB 3.0 eXtensible Host Controller Driver\Application\iusb3mon.exe,2021-12-07 20:24:08
