_id,disk_bytes_read,disk_bytes_written,elapsed_time,host_hostname,name,path,start_time
619db92e73459a10a4a1fee9,1.24 GB,35.94 MB,23,Sack,osqueryd.exe,C:\Program Files\Orbit\bin\osqueryd\windows\stable\osqueryd.exe,2021-10-24 23:23:15
619db92e73459a10a4a1feea,92 bytes,116 bytes,23,Sack,TaniumClient.exe,C:\Program Files (x86)\Tanium\Tanium Client\TaniumClient.exe,2021-10-24 23:23:15
619db92e73459a10a4a1feeb,0 bytes,0 bytes,23,Sack,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-24 23:23:24
619db92e73459a10a4a1feec,421.73 MB,207.13 MB,23,Sack,WmiPrvSE.exe,C:\Windows\System32\wbem\WmiPrvSE.exe,2021-10-24 23:23:27
619db92e73459a10a4a1feed,116.78 KB,58.46 KB,23,Sack,GoogleCrashHandler.exe,C:\Program Files (x86)\Google\Update\1.3.36.112\GoogleCrashHandler.exe,2021-10-24 23:23:27
619db92e73459a10a4a1feee,4.6 KB,2.4 KB,23,Sack,GoogleCrashHandler64.exe,C:\Program Files (x86)\Google\Update\1.3.36.112\GoogleCrashHandler64.exe,2021-10-24 23:23:27
619db92e73459a10a4a1feef,17.1 MB,7.09 MB,23,Sack,SearchIndexer.exe,C:\Windows\System32\SearchIndexer.exe,2021-10-24 23:23:56
619db92e73459a10a4a1fef0,0 bytes,0 bytes,23,Sack,unsecapp.exe,C:\Windows\System32\wbem\unsecapp.exe,2021-10-24 23:24:16
619db92e73459a10a4a1fef1,2.13 KB,0 bytes,23,Sack,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-24 23:24:21
619db92e73459a10a4a1fef2,11.86 MB,6.29 MB,23,Sack,IAStorDataMgrSvc.exe,C:\Program Files (x86)\Intel\Intel(R) Rapid Storage Technology\IAStorDataMgrSvc.exe,2021-10-24 23:25:27
619db92e73459a10a4a1fef3,0 bytes,18 bytes,23,Sack,LMS.exe,C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\LMS\LMS.exe,2021-10-24 23:25:27
